what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1509936114410
processors,sysinfo,,,"4",1509936114410
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1509936114410
java.runtime.version,sysinfo,,,"1.8.0_151-b12",1509936114410
java.specification.name,sysinfo,,,"Java Platform API Specification",1509936114410
java.specification.vendor,sysinfo,,,"Oracle Corporation",1509936114410
java.specification.version,sysinfo,,,"1.8",1509936114410
java.vendor,sysinfo,,,"Oracle Corporation",1509936114410
java.version,sysinfo,,,"1.8.0_151",1509936114410
java.vm.info,sysinfo,,,"mixed mode",1509936114410
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1509936114410
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1509936114410
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1509936114410
java.vm.specification.version,sysinfo,,,"1.8",1509936114410
java.vm.vendor,sysinfo,,,"Oracle Corporation",1509936114410
java.vm.version,sysinfo,,,"25.151-b12",1509936114410
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509936117712
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509936483705
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1509936483737
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509936484449
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509936485364
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509936485429
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1509936485816
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1509936485817
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1509936485818
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1509936485819
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1509936485887
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1509936485892
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1509936485893
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1509936485893
stopped,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1509936485894
